9222509 59081
1223993 3936163 892259951
851306 1771715 891799375
335645 2185800 275183723
283826 295766 572792479
65376 392122 490855382
2301291 3019838 471703263
4402072 8493385 315389839
5703135 7502117 749550544
6847381 7573306 908374467
2825886 2988466 27914104
5207170 6694993 57086230
16915 204719 981009016
4103400 7273342 978428030
5230323 7130773 186612275
955041 3385314 703158397
583101 3078901 69735073
42961 431815 120652296
1491616 2649194 856805048
5712919 5810220 278695486
4082655 5197869 807620001
1077397 4908597 99826939
422380 1394960 535851972
6384807 8644457 485360600
1645899 8602671 878958687
60413 5554651 360766051
6472413 7715088 53774006
1392180 5594060 678186294
1784968 2380505 756030230
2168420 3765474 456667992
82283 665168 483767668
4223534 4507553 644063091
3353370 4274412 383451917
665282 1854079 640354223
1118555 1182655 853010531
312880 356572 55576447
2439854 3411411 568079692
2956930 3513008 358303294
1730308 4975940 429114774
3925561 6054915 865022705
4436881 5031285 903993093
1327338 3213355 275418533
3617587 6081509 907584784
161082 790478 108319757
1597386 8285969 364543683
459565 1897675 743572511
1668298 7543986 980279035
3403085 8467066 494742752
1946834 7746893 154420940
2411991 7754771 780890263
2170368 4810503 605377967
40329 8589457 735115441
1444367 2943931 477503993
4010329 5549237 681797213
906543 3484669 809038350
10459 20491 619080291
4176164 8089436 317719257
125505 294255 718653854
4701353 5367413 723326274
2429991 4953581 643875278
5446634 6889072 295840294
1243600 4534915 850366703
1614945 2809029 208754395
569890 895135 458856948
278380 4463887 901062911
283324 3378532 353166382
2291397 4100317 453080753
2105172 8769437 252561700
4032795 4736988 294234605
24403 326843 260978059
1202081 2137159 185048372
74883 279527 414835791
193115 5881231 778558330
3850621 3881298 367875003
98415 7238282 758821306
3555769 6114533 871028176
983101 1666522 991875058
2027489 7758521 957469170
7543459 9214747 322576344
474179 2863503 325659696
3027656 3979775 950277970
6423346 6928346 934010417
919579 1566734 969119718
1610296 8061498 372465973
5508440 7097790 48179617
1935380 6127746 635034443
92828 398658 964177217
31414 1119731 759587507
4640911 7321767 299012222
2964383 3350492 298097343
3913532 5464189 327375434
893853 5520924 746749602
1189638 5890485 502588504
6408637 7729679 545059987
2179168 4347984 261068319
1152187 4858156 550857444
187775 1205456 117894062
1605924 6050175 283891431
32263 371505 753743185
1087352 1621514 71328570
2018571 3024936 239023434
2184890 2901662 350513648
552849 2589560 988274939
1554889 2679032 308220644
326588 3531047 67047980
175266 1174135 933785399
524549 2867280 369898377
2537177 6645575 906600148
1494960 2878303 498479333
779786 2527717 97805148
1461772 5944578 532728860
2124600 8627858 905050086
5219022 7748420 616439617
6051626 6419655 783070145
1781801 4246748 459544244
3575671 4587521 69389659
2129 17829 498974367
4264017 9043569 316820361
4947921 6817302 741562455
99854 1787327 664896703
3333388 6487765 316494523
1505755 3834647 154877978
618546 1239984 487677081
232652 449572 891684242
259168 1678364 490960932
68845 2690636 917876624
2807409 5994610 30279366
2514057 7871115 800471114
5506881 7649084 226376842
246763 3094319 321549733
1828290 3420847 759281083
129848 2435006 44748753
3503255 6240768 320930532
2826960 3650768 310019126
2258455 6413390 144835054
3307701 4507279 92274447
557088 5430933 948064275
779083 3909861 507653684
764090 8452227 36364807
1781179 8421713 721799306
5098133 6654600 552229225
165808 3651100 57293819
2472602 5529745 544732134
3228394 7334926 107489635
292602 1407475 548310102
339621 1257572 606844484
3374989 7582463 927214928
2502504 7386214 969108755
274903 8339120 952719829
820447 935892 958227856
4575178 5907530 150756478
2331004 3287470 467778517
2848110 5933889 602332373
4112510 6155982 285775842
1879931 4036843 96508479
7583 14129 823302722
521219 1631218 300929913
4870436 5402287 376053952
1019467 1039513 760133283
737808 5695450 239417616
5007093 7209599 836973629
3101085 8470071 968507109
1985522 4226978 825777435
3770472 5202054 810265709
1144952 5746153 109963236
3961101 8302909 512579820
212896 799813 421315461
2649809 4054240 185110922
2632115 7045178 450423787
1049906 2170372 527264804
722966 1848288 64468249
1087528 2087858 746009298
267480 3687224 792941796
128783 161635 14297629
3755333 4029485 562604525
